statsYm,admmCd,ctpvNm,sggNm,dongNm,tong,ban,totNmprCnt,maleNmprCnt,femlNmprCnt,male0AgeNmprCnt,male10AgeNmprCnt,male20AgeNmprCnt,male30AgeNmprCnt,male40AgeNmprCnt,male50AgeNmprCnt,male60AgeNmprCnt,male70AgeNmprCnt,male80AgeNmprCnt,male90AgeNmprCnt,male100AgeNmprCnt,feml0AgeNmprCnt,feml10AgeNmprCnt,feml20AgeNmprCnt,feml30AgeNmprCnt,feml40AgeNmprCnt,feml50AgeNmprCnt,feml60AgeNmprCnt,feml70AgeNmprCnt,feml80AgeNmprCnt,feml90AgeNmprCnt,feml100AgeNmprCnt
202604,4812131000,경상남도,창원시 의창구,북면,14,2,125,64,61,0,3,4,3,5,12,18,15,4,0,0,1,3,3,1,2,8,19,14,8,2,0
202604,4812131000,경상남도,창원시 의창구,북면,14,3,103,54,49,0,5,4,4,2,7,18,10,4,0,0,0,3,0,0,4,4,15,16,6,1,0
202604,4812131000,경상남도,창원시 의창구,북면,15,1,98,49,49,0,0,1,4,3,4,20,12,5,0,0,0,0,1,2,1,2,21,16,5,1,0
202604,4812131000,경상남도,창원시 의창구,북면,15,2,91,45,46,0,1,1,7,1,7,15,10,3,0,0,1,0,3,2,4,7,11,10,7,1,0
202604,4812131000,경상남도,창원시 의창구,북면,15,3,99,48,51,0,2,2,2,5,5,15,13,3,1,0,1,2,4,1,4,6,8,13,7,5,0
202604,4812131000,경상남도,창원시 의창구,북면,15,4,141,80,61,0,2,4,3,6,14,24,17,9,1,0,0,2,2,1,3,5,20,21,5,2,0
202604,4812131000,경상남도,창원시 의창구,북면,16,1,955,483,472,23,32,31,35,60,88,127,61,22,4,0,12,25,26,33,38,85,109,98,38,7,1
202604,4812131000,경상남도,창원시 의창구,북면,16,2,729,369,360,15,17,28,26,35,63,102,59,22,2,0,10,21,17,29,27,71,97,55,29,4,0
202604,4812131000,경상남도,창원시 의창구,북면,16,3,110,56,54,0,1,2,6,4,11,13,11,8,0,0,3,3,0,2,4,6,16,13,6,1,0
202604,4812131000,경상남도,창원시 의창구,북면,16,4,113,57,56,3,3,4,5,4,13,10,11,4,0,0,0,0,4,3,1,13,13,12,10,0,0
202604,4812131000,경상남도,창원시 의창구,북면,16,5,975,486,489,10,46,41,35,52,92,121,64,23,2,0,9,25,29,21,45,81,144,74,51,10,0
202604,4812131000,경상남도,창원시 의창구,북면,16,6,526,261,265,10,22,21,18,49,46,52,33,8,2,0,9,17,22,12,42,48,60,37,15,3,0
202604,4812131000,경상남도,창원시 의창구,북면,17,1,142,87,55,1,4,3,6,9,15,32,15,2,0,0,2,0,3,3,2,7,16,14,5,3,0
202604,4812131000,경상남도,창원시 의창구,북면,17,2,84,44,40,3,1,2,2,3,6,14,10,3,0,0,0,0,1,3,3,4,14,9,3,3,0
202604,4812131000,경상남도,창원시 의창구,북면,18,1,141,73,68,0,1,1,4,6,12,27,17,5,0,0,1,3,2,3,5,10,22,11,8,3,0
202604,4812132000,경상남도,창원시 의창구,대산면,1,1,107,51,56,0,1,2,2,7,6,18,9,5,1,0,0,2,0,1,3,4,13,15,15,3,0
202604,4812132000,경상남도,창원시 의창구,대산면,1,2,131,67,64,0,1,3,4,10,10,20,17,2,0,0,0,2,0,1,8,3,22,14,11,3,0
202604,4812132000,경상남도,창원시 의창구,대산면,1,3,120,57,63,2,3,2,2,6,7,16,12,7,0,0,1,2,2,1,4,7,18,17,8,3,0
202604,4812132000,경상남도,창원시 의창구,대산면,1,4,65,36,29,0,0,1,0,8,4,13,7,3,0,0,0,0,1,1,0,3,10,9,4,1,0
202604,4812132000,경상남도,창원시 의창구,대산면,1,5,120,63,57,0,2,6,2,4,11,15,12,11,0,0,0,1,0,1,1,9,12,24,8,1,0
202604,4812132000,경상남도,창원시 의창구,대산면,2,1,192,101,91,3,6,7,6,8,14,31,18,8,0,0,3,1,2,6,7,15,23,17,12,5,0
202604,4812132000,경상남도,창원시 의창구,대산면,2,2,26,14,12,0,0,1,1,3,1,4,2,1,1,0,0,0,0,0,0,1,3,4,3,1,0
202604,4812132000,경상남도,창원시 의창구,대산면,2,3,70,31,39,0,2,2,0,8,4,5,9,1,0,0,0,6,1,0,5,3,12,3,8,1,0
202604,4812132000,경상남도,창원시 의창구,대산면,2,4,200,91,109,2,3,5,7,13,13,26,16,6,0,0,4,2,1,5,6,13,25,31,17,5,0
202604,4812132000,경상남도,창원시 의창구,대산면,2,5,74,39,35,0,4,5,1,4,5,14,4,2,0,0,2,2,1,2,4,9,9,3,2,1,0
202604,4812132000,경상남도,창원시 의창구,대산면,3,1,197,98,99,0,1,8,5,7,16,30,21,9,1,0,0,2,7,5,5,12,28,21,18,1,0
202604,4812132000,경상남도,창원시 의창구,대산면,3,2,225,111,114,3,5,11,6,12,18,25,22,9,0,0,3,8,5,4,8,16,31,25,10,4,0
202604,4812132000,경상남도,창원시 의창구,대산면,3,3,169,93,76,3,3,5,4,7,18,20,20,10,3,0,1,2,2,6,4,13,22,14,12,0,0
202604,4812132000,경상남도,창원시 의창구,대산면,4,1,510,251,259,8,18,25,16,32,47,62,32,11,0,0,9,17,14,17,19,51,57,45,26,4,0
202604,4812132000,경상남도,창원시 의창구,대산면,4,2,352,171,181,0,5,8,13,24,29,44,38,9,1,0,0,3,8,8,10,24,46,55,21,4,2
202604,4812132000,경상남도,창원시 의창구,대산면,4,3,117,66,51,1,1,8,7,4,14,23,6,1,1,0,0,4,3,2,5,6,12,10,9,0,0
202604,4812132000,경상남도,창원시 의창구,대산면,4,4,152,83,69,0,2,9,5,9,19,20,17,2,0,0,1,1,3,3,4,9,23,13,9,3,0
202604,4812132000,경상남도,창원시 의창구,대산면,4,5,125,62,63,0,4,1,3,11,6,21,12,3,1,0,0,5,3,4,3,5,15,14,10,4,0
